"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Ccr1"	5.10585668892414e-140	0.41778779889939	0.289	0.168	1.58552167761161e-135	"5"	"Ccr1"
"1700020I14Rik"	1.9862863614251e-139	0.476547122763812	0.921	0.561	6.16801503813336e-135	"5"	"1700020I14Rik"
"Slc29a3"	5.92816244097672e-139	0.367395944355326	0.267	0.286	1.8408722827965e-134	"5"	"Slc29a3"
"Nkap"	1.1655114818506e-138	0.341158534920498	0.887	0.578	3.61926280459067e-134	"5"	"Nkap"
"Cttnbp2nl"	2.00958811312373e-138	0.314274398584725	0.249	0.262	6.24037396768312e-134	"5"	"Cttnbp2nl"
"Dpp7"	2.55266846062409e-138	0.269968421137234	0.862	0.482	7.92680137077599e-134	"5"	"Dpp7"
"Dennd1a"	9.69645914755923e-138	0.314573456251604	0.268	0.398	3.01104145909157e-133	"5"	"Dennd1a"
"Cxcl2"	2.31450607255352e-137	1.35578731888804	0.73	0.39	7.18723570710043e-133	"5"	"Cxcl2"
"Trim30a"	3.93289140875115e-137	0.498610908871232	0.25	0.27	1.2212807691595e-132	"5"	"Trim30a"
"Mef2d"	5.48370291753006e-137	0.310676107484187	0.243	0.315	1.70285426698061e-132	"5"	"Mef2d"
"Wipf1"	6.2564755223784e-137	0.470412756142659	0.269	0.16	1.94282334396416e-132	"5"	"Wipf1"
"Gng2"	1.42273440363807e-136	0.436856839228545	0.274	0.161	4.41801714361729e-132	"5"	"Gng2"
"Tbc1d13"	2.21107156671679e-136	0.270107607808221	0.241	0.31	6.86604053612564e-132	"5"	"Tbc1d13"
"Clec4a2"	3.04296060139597e-136	0.500269882559418	0.292	0.16	9.4493055555149e-132	"5"	"Clec4a2"
"Grk3"	5.50531338899804e-136	0.442278616108383	0.275	0.409	1.70956496668556e-131	"5"	"Grk3"
"Ifi211"	6.3497030137972e-136	0.331233530249868	0.267	0.19	1.97177327687444e-131	"5"	"Ifi211"
"Rgs10"	1.21334638741163e-135	0.547832957903391	0.289	0.212	3.76780453682934e-131	"5"	"Rgs10"
"Pitpnm1"	1.0914813317383e-134	0.320217134817502	0.268	0.278	3.38937697944694e-130	"5"	"Pitpnm1"
"Mcemp1"	1.22625424254183e-134	0.250572720085451	0.27	0.135	3.80788729936515e-130	"5"	"Mcemp1"
"Cep170"	1.3048188838265e-134	0.309714734247793	0.221	0.285	4.05185407994642e-130	"5"	"Cep170"
"Tra2a"	3.26322832938014e-134	0.289509325755294	0.262	0.394	1.01333029312241e-129	"5"	"Tra2a"
"Sla"	1.5978780824559e-133	0.364701541387246	0.285	0.197	4.96189080945032e-129	"5"	"Sla"
"Prdm1"	3.32211032395485e-133	0.270518700799485	0.264	0.272	1.0316149188977e-128	"5"	"Prdm1"
"Hsd17b11"	7.17318186618081e-133	0.326183515574453	0.225	0.353	2.22748816490513e-128	"5"	"Hsd17b11"
"Engase"	1.4695095803075e-132	0.261872564417559	0.248	0.303	4.56326809972887e-128	"5"	"Engase"
"S100a11"	2.01289846270044e-132	0.78786428098399	0.995	0.812	6.25065359622369e-128	"5"	"S100a11"
"Sh3bp1"	3.25422831867304e-132	0.432703896075665	0.272	0.312	1.01053551979754e-127	"5"	"Sh3bp1"
"Gltp"	5.74355438581916e-132	0.412102690922113	0.288	0.511	1.78354594342842e-127	"5"	"Gltp"
"Slc7a8"	9.53391222759823e-132	0.625472745470166	0.286	0.227	2.96056576403608e-127	"5"	"Slc7a8"
"Pdxk"	2.00707410895582e-131	0.2964399782481	0.269	0.35	6.23256723054052e-127	"5"	"Pdxk"
"Hk3"	2.06568214378108e-131	0.413799645572966	0.284	0.222	6.41456276108338e-127	"5"	"Hk3"
"AB124611"	2.14905081621787e-131	0.50036356149165	0.292	0.198	6.67344749960136e-127	"5"	"AB124611"
"Hpgds"	4.09367008649623e-131	0.440632969572147	0.297	0.166	1.27120737195967e-126	"5"	"Hpgds"
"Ifnar1"	4.22558811985866e-131	0.407471397237785	0.259	0.363	1.31217187885971e-126	"5"	"Ifnar1"
"Fnbp1"	5.60097420687496e-131	0.42798515581845	0.27	0.304	1.73927052046088e-126	"5"	"Fnbp1"
"Slc4a2"	5.89095645981017e-131	0.314220656589408	0.771	0.369	1.82931870946485e-126	"5"	"Slc4a2"
"Fnip1"	1.52802096189079e-130	0.325549006111945	0.259	0.39	4.74496349295947e-126	"5"	"Fnip1"
"St6galnac4"	1.09801604412264e-129	0.290565512501298	0.788	0.447	3.40966922181403e-125	"5"	"St6galnac4"
"Gm21188"	1.29833254313194e-128	0.495350966905568	0.3	0.206	4.0317120461876e-124	"5"	"Gm21188"
"Stat2"	1.5589858623195e-128	0.262138571069908	0.241	0.374	4.84111879826074e-124	"5"	"Stat2"
"Pmf1"	1.92067564316811e-127	0.335843085370591	0.887	0.605	5.96427407472993e-123	"5"	"Pmf1"
"Fosl2"	2.06469634936982e-127	0.364585859137318	0.252	0.342	6.41150157369811e-123	"5"	"Fosl2"
"Rassf4"	2.89224020138858e-127	0.577921639384221	0.286	0.352	8.98127349737197e-123	"5"	"Rassf4"
"Ccdc88a"	1.50888916975967e-126	0.440256699859221	0.25	0.293	4.68555353885471e-122	"5"	"Ccdc88a"
"Pkib"	3.47876508272857e-126	0.479538786382487	0.295	0.202	1.0802609211397e-121	"5"	"Pkib"
"Zc3h7a"	4.88330489659832e-126	0.274223538967703	0.26	0.43	1.51641266954068e-121	"5"	"Zc3h7a"
"Psma2"	6.70146016204323e-126	0.711454030285623	1	0.891	2.08100442411928e-121	"5"	"Psma2"
"Slbp"	8.65618236356205e-126	0.427035156629327	0.908	0.579	2.68800430935692e-121	"5"	"Slbp"
"Fes"	1.09036857038366e-125	0.461605945581394	0.267	0.251	3.38592152161237e-121	"5"	"Fes"
"Dnase1l3"	1.39575337056316e-125	0.312632744998388	0.726	0.338	4.33423294160979e-121	"5"	"Dnase1l3"
"Plekha1"	2.82042236926347e-125	0.336008058403302	0.26	0.384	8.75825758327384e-121	"5"	"Plekha1"
"Cd83"	6.54680943676193e-125	0.606849714424728	0.289	0.281	2.03298073439768e-120	"5"	"Cd83"
"Rasa2"	1.65030999842711e-124	0.307606956648609	0.753	0.41	5.1247076381157e-120	"5"	"Rasa2"
"Ep300"	1.90261066124142e-123	0.319672343573954	0.247	0.36	5.90817688635297e-119	"5"	"Ep300"
"Cd300a"	2.00331126458853e-123	0.605067520889709	0.292	0.363	6.22088246992676e-119	"5"	"Cd300a"
"Cers6"	2.06999680515592e-123	0.345304440757092	0.294	0.476	6.42796107905067e-119	"5"	"Cers6"
"Smagp"	1.38982118418588e-122	0.261893185257583	0.995	0.792	4.31581172325242e-118	"5"	"Smagp"
"Lyz2"	4.95458456415773e-122	1.88696939500876	0.711	0.364	1.5385471447079e-117	"5"	"Lyz2"
"Il1b"	1.05971904937793e-121	0.627117402874079	0.301	0.221	3.29074556403329e-117	"5"	"Il1b"
"H2afx"	3.3595566409561e-121	0.339149653620414	0.878	0.634	1.0432431237161e-116	"5"	"H2afx"
"Zfc3h1"	3.66945382202005e-121	0.449970559647023	0.745	0.401	1.13947549535189e-116	"5"	"Zfc3h1"
"Rasa3"	6.4739412896086e-121	0.310425475799323	0.272	0.393	2.01035298866216e-116	"5"	"Rasa3"
"Basp1"	6.72291037329198e-121	0.757965939198997	0.304	0.176	2.08766535821836e-116	"5"	"Basp1"
"Utp18"	1.46662580274534e-120	0.309099901574817	0.819	0.525	4.5543131052651e-116	"5"	"Utp18"
"Havcr2"	9.41473771489431e-120	0.351744271714296	0.319	0.244	2.92355850260613e-115	"5"	"Havcr2"
"Fxyd5"	1.23615640524646e-119	1.23716513751917	0.721	0.393	3.83863648521184e-115	"5"	"Fxyd5"
"Leng8"	5.60088046626557e-119	0.254941142606673	0.235	0.343	1.73924141118945e-114	"5"	"Leng8"
"Polr1c"	5.47743970345298e-118	0.263146157873572	0.921	0.613	1.70090935111325e-113	"5"	"Polr1c"
"Fgr"	7.64224063013553e-118	0.60231265170051	0.299	0.369	2.37314498287598e-113	"5"	"Fgr"
"Baz2a"	1.00488109006068e-117	0.341714091166617	0.252	0.361	3.12045724896543e-113	"5"	"Baz2a"
"Orai1"	1.11438638946007e-117	0.358939116269181	0.888	0.612	3.46050405519037e-113	"5"	"Orai1"
"Ptprj"	1.53622667224405e-117	0.574980571169302	0.283	0.376	4.77044468531945e-113	"5"	"Ptprj"
"Brd7"	1.56375268238063e-117	0.289478733014537	0.276	0.454	4.85592120459657e-113	"5"	"Brd7"
"Rab21"	5.50169950913852e-117	0.26610157650624	0.264	0.385	1.70844274857278e-112	"5"	"Rab21"
"Trpm2"	7.76598361077154e-117	0.461645655766922	0.294	0.187	2.41157089065289e-112	"5"	"Trpm2"
"Gmip"	8.18054912124802e-117	0.305286837361749	0.287	0.325	2.54030591862115e-112	"5"	"Gmip"
"Tnfrsf1b"	1.07558621546059e-116	0.578086943604301	0.289	0.426	3.34001787486976e-112	"5"	"Tnfrsf1b"
"Fgd4"	1.26778609522834e-116	0.370157671829578	0.279	0.344	3.93685616151258e-112	"5"	"Fgd4"
"Hist1h2ap"	2.71609949431875e-116	0.287093919125779	0.809	0.564	8.43430375970802e-112	"5"	"Hist1h2ap"
"Nudc"	3.74198871939014e-116	0.431276154198401	0.992	0.762	1.16199975703222e-111	"5"	"Nudc"
"Tnf"	5.75802545592757e-116	0.467788338656808	0.295	0.23	1.78803964482919e-111	"5"	"Tnf"
"Sec14l1"	6.55052463652214e-116	0.297994159777691	0.266	0.335	2.03413441537922e-111	"5"	"Sec14l1"
"Vps13b"	6.86482984203633e-116	0.251120098552666	0.269	0.362	2.13173561084754e-111	"5"	"Vps13b"
"Zc3hav1"	1.42992406364271e-115	0.290848850520717	0.267	0.385	4.4403431948297e-111	"5"	"Zc3hav1"
"Dock10"	1.9847417342855e-115	0.725015491617353	0.309	0.134	6.16321850747677e-111	"5"	"Dock10"
"Ddhd1"	3.67550169469417e-115	0.476649231332916	0.279	0.323	1.14135354125338e-110	"5"	"Ddhd1"
"Akap10"	2.63914522040693e-114	0.28514791118123	0.27	0.327	8.19533765292964e-110	"5"	"Akap10"
"C1qb"	4.78559495908359e-114	1.81050692770603	0.707	0.279	1.48607080264423e-109	"5"	"C1qb"
"Ubr4"	7.87786927725841e-114	0.305749848529023	0.27	0.409	2.44631474666705e-109	"5"	"Ubr4"
"Zfp131"	1.61511761879731e-113	0.313393279621219	0.735	0.38	5.01542474165129e-109	"5"	"Zfp131"
"Jchain"	1.75542858222911e-113	0.265151477560477	0.244	0.34	5.45113237639606e-109	"5"	"Jchain"
"Zcchc7"	2.85113359235048e-113	0.320828529634608	0.251	0.404	8.85362514432594e-109	"5"	"Zcchc7"
"Btbd1"	8.52162414525341e-113	0.345832640473638	0.956	0.65	2.64621994582554e-108	"5"	"Btbd1"
