"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Cog6","OK",1.76908147280622e-67,17.3163992034136,0.0375184041638815,"Cog6",4.37361010129231e-67,"4","1",-2.85227554081677,-2.13600080268921
"Serp1","OK",0,77.5129555917145,0.168240698275636,"Serp1",0,"4","1",-3.55666129826306,-2.09150808113159
"Rap2b","OK",8.77919262505985e-32,11.6727829493258,0.0251269761267507,"Rap2b",1.8235538646305e-31,"4","1",-3.39495151280164,-0.644318273239742
"Slc33a1","OK",0,90.4803336109926,0.196378747718614,"Slc33a1",0,"4","1",-3.07835309742688,-1.87973802345337
"Vmn2r3","OK",0,76.903185890124,0.1662753989317,"Vmn2r3",0,"4","1",-4.1186782622218,-1.61593835609497
"Ssr3","OK",0,96.7839444618321,0.210085857091689,"Ssr3",0,"4","1",-3.42425744770764,-2.03118770378173
"Pdgfc","OK",1.60986971789189e-05,4.15734048372298,0.00893917829460432,"Pdgfc",2.51997483780339e-05,"4","1",-3.19442169903516,-1.4768816735083
"Mef2d","OK",1.68124196167397e-83,19.3241855574162,0.0418593839684781,"Mef2d",4.39468962448487e-83,"4","1",-2.48141854046582,-1.39322607772888
"Rhbg","OK",1.15392631770664e-16,8.20489876832252,0.017693602673919,"Rhbg",2.11984330011016e-16,"4","1",-3.53673022030591,-1.7995602394873
"Cct3","OK",0,92.0970908328352,0.19989857655742,"Cct3",0,"4","1",-1.57689039944409,-1.52564161079467
"Lmna","OK",0,121.036910542977,0.262725290484459,"Lmna",0,"4","1",-2.67345850704907,-1.71709459083618
"Ubqln4","OK",4.01641458879154e-105,21.7430773826021,0.0471095023638535,"Ubqln4",1.12223779620811e-104,"4","1",-2.64296167134046,-1.08862536209167
"Arhgef2","OK",9.53303614255724e-103,21.4905930051731,0.0464155562808197,"Arhgef2",2.63910953590613e-102,"4","1",-3.88022153614759,-1.42611902015747
"Rusc1","OK",6.21598224836211e-308,37.492007372897,0.0812392957079599,"Rusc1",2.60880569684066e-307,"4","1",-3.93489711521863,-1.70536678093017
"Trim46","OK",3.41224428216138e-53,15.3073931234959,0.0326048791873635,"Trim46",7.94255189663662e-53,"4","1",-4.01705949543714,-1.59493797081054
"Dcst2","OK",0.0160931756004672,2.1420886234081,0.00429040470146846,"Dcst2",0.0227907328767061,"4","1",-4.09273593662976,-1.53877775924743
"Slc39a1","OK",0,40.0282579543529,0.0868189082092844,"Slc39a1",0,"4","1",-2.35594170330762,-1.01452296035827
"Ints3","OK",1.39295477230412e-41,13.4573881010824,0.0291191483706618,"Ints3",3.06230214863932e-41,"4","1",-3.1294695639491,-0.79375689285339
"Lor","OK",1.31711550115052e-06,4.69745507493875,0.0100036013657304,"Lor",2.1080176336045e-06,"4","1",-3.6752664351344,-1.41929190414489
"Mllt11","OK",3.28196498489935e-21,9.38053422030847,0.0202615400789363,"Mllt11",6.29800243752194e-21,"4","1",-2.799570491302,-1.56367557304443
"Mindy1","OK",0,61.0041210511791,0.132376513482944,"Mindy1",0,"4","1",-1.6324574255824,-1.28771775024475
"Aph1a","OK",0,89.8588503218095,0.195036829936923,"Aph1a",0,"4","1",-1.36768989800214,-1.28678934829773
"Pias3","OK",1.34373122834088e-13,7.30919563943404,0.0157670313393292,"Pias3",2.3803460822968e-13,"4","1",-1.96245353459119,-1.30033319252075
"Polr3c","OK",6.37372578255415e-159,26.8346354447586,0.058186089008333,"Polr3c",2.04490368856946e-158,"4","1",-1.4712961220622,-1.60196702735962
"Chd1l","OK",2.25892942292333e-29,11.1909074794217,0.0242009781350817,"Chd1l",4.62253946947838e-29,"4","1",-1.70321886776685,-1.55580728309692
"Phgdh","OK",0,101.791392926353,0.220897030404074,"Phgdh",0,"4","1",-3.48059218167066,-1.48814838188232
"Ap4b1","OK",0.00014992122466115,3.61543608465748,0.00773116811481859,"Ap4b1",0.000228467720087797,"4","1",-3.1033739352107,-0.433324268036495
"Ddx20","OK",7.24622066458313e-21,9.29666173059623,0.0200961819106741,"Ddx20",1.38688282842128e-20,"4","1",-1.45253317593335,-1.00599377410949
"Wdr77","OK",0,59.9435046117771,0.130069925553219,"Wdr77",0,"4","1",-2.40153758763074,-1.64765136497558
"Gm12500","OK",5.36922997392228e-05,3.87327033540907,0.00831243616636447,"Gm12500",8.2819318391797e-05,"4","1",-3.27124922512769,-1.90651672142089
