"","Combined_Module"
"Tbc1d14","1"
"Man2b2","1"
"Zbtb49","1"
"Zfp518b","1"
"Bod1l","1"
"Cpeb2","1"
"Prom1","1"
"Tapt1","1"
"Adgra3","1"
"Dhx15","1"
"Sepsecs","1"
"Sel1l3","1"
"Stim2","1"
"Arap2","1"
"Rell1","1"
"Tbc1d1","1"
"Tlr6","1"
"Klhl5","1"
"Wdr19","1"
"Klb","1"
"Pds5a","1"
"Rbm47","1"
"Apbb2","1"
"Nfxl1","1"
"Tec","1"
"Fryl","1"
"Clock","1"
"Rest","1"
"Sult1e1","1"
"Slc4a4","1"
"Ankrd17","1"
"Afp","1"
"Pf4","1"
"Cxcl1","1"
"Cxcl2","1"
"Parm1","1"
"Uso1","1"
"Shroom3","1"
"Cnot6l","1"
"Bmp2k","1"
"Rasgef1b","1"
"Hnrnpd","1"
"Gm17092","1"
"Tmem150c","1"
"2310034O05Rik","1"
"Sec31a","1"
"Helq","1"
"Wdfy3","1"
"Slc10a6","1"
"Aff1","1"
"D930016D06Rik","1"
"Tgfbr3","1"
"Evi5","1"
"Mtf2","1"
"Pigg","1"
"Mfsd7a","1"
"Pcgf3","1"
"Gak","1"
"Dgkq","1"
"Fgfrl1","1"
"Chfr","1"
"Golga3","1"
"Fbrsl1","1"
"Ep400","1"
"Ulk1","1"
"Ttc28","1"
"Mn1","1"
"Grk3","1"
"2900026A02Rik","1"
"Sart3","1"
"Coro1c","1"
"Ssh1","1"
"Ube3b","1"
"Fam222a","1"
"Git2","1"
"Ankrd13a","1"
"Hnf1a","1"
"Sppl3","1"
"Unc119b","1"
"Rnf10","1"
"Pxn","1"
"Gcn1l1","1"
"Hspb8","1"
"Srrm4","1"
"Taok3","1"
"Fbxo21","1"
"Fbxw8","1"
"Med13l","1"
"Tbx3","1"
"Rbm19","1"
"Tpcn1","1"
"Rasal1","1"
"Ptpn11","1"
"Hectd4","1"
"Atxn2","1"
"Sh2b3","1"
"Fam109a","1"
"Pptc7","1"
"Atp2a2","1"
"Kdm2b","1"
"Setd1b","1"
"Pitpnm2","1"
"Sbno1","1"
"Kmt5a","1"
"Ncor2","1"
"Glt1d1","1"
"Sfswap","1"
"Kctd7","1"
"Gtf2i","1"
"Clip2","1"
"Vps37d","1"
"Mlxipl","1"
"Baz1b","1"
"Pom121","1"
"Por","1"
"Serpine1","1"
"Trim56","1"
"Srrt","1"
"Ephb4","1"
"9130604C24Rik","1"
"Gigyf1","1"
"Mepce","1"
"Zkscan1","1"
"Zfp113","1"
"Ap4m1","1"
"A430033K04Rik","1"
"Sun1","1"
"Ints1","1"
"Mafk","1"
"Gna12","1"
"Foxk1","1"
"Ap5z1","1"
"Tnrc18","1"
"Fbxl18","1"
"Rnf216","1"
"Rbak","1"
"Zfp12","1"
"Zfp316","1"
"Usp42","1"
"Lmtk2","1"
"Tecpr1","1"
"Trrap","1"
"Smurf1","1"
"Ptcd1","1"
"Zkscan5","1"
"Cyp3a16","1"
"Usp12","1"
"Lnx2","1"
"Pan3","1"
"Uspl1","1"
"Fry","1"
"Stard13","1"
"Casd1","1"
"Ppp1r9a","1"
"Pon1","1"
"Pdk4","1"
"Glcci1","1"
"Bmt2","1"
"Met","1"
"Gm20186","1"
"Gm3289","1"
"Cped1","1"
"Gcc1","1"
"Hilpda","1"
"Kcp","1"
"Tnpo3","1"
"Smo","1"
"Ube2h","1"
"Klhdc10","1"
"Lncpint","1"
"Exoc4","1"
"Nup205","1"
"Creb3l2","1"
"Trim24","1"
"Zc3hav1","1"
"Ubn2","1"
"Luc7l2","1"
"Hipk2","1"
"Kdm7a","1"
"Braf","1"
"Mgam","1"
"Arhgef5","1"
"Zfp777","1"
"Zfp746","1"
"Krba1","1"
"Fkbp14","1"
"Znrf2","1"
"Avl9","1"
"Gprin3","1"
"Smarcad1","1"
"Eif2ak3","1"
"Rmnd5a","1"
"Rnf103","1"
"Kdm3a","1"
"Reep1","1"
"Polr1a","1"
"Kcmf1","1"
"Mogs","1"
"Dctn1","1"
"Mob1a","1"
"Tet3","1"
"Zfp638","1"
"Rab11fip5","1"
"Nat8f4","1"
"Tia1","1"
"Aak1","1"
"H1fx","1"
"Plxna1","1"
"Gm44421","1"
"Iqsec1","1"
"Slc6a6","1"
"Nr2c2","1"
"Rbsn","1"
"Magi1","1"
"Lrig1","1"
"Tmf1","1"
"Frmd4b","1"
"Foxp1","1"
"Rybp","1"
"Ppp4r2","1"
"Itpr1","1"
"Bhlhe40","1"
"Setd5","1"
"Brpf1","1"
"Tatdn2","1"
"Gm26982","1"
"Vgll4","1"
"Raf1","1"
"Tmcc1","1"
"Washc2","1"
"March8","1"
"8430408G22Rik","1"
"Cacna1c","1"
"Fbxl14","1"
"Erc1","1"
"Wnk1","1"
"Kdm5a","1"
"Il17ra","1"
"Cecr2","1"
"Mical3","1"
"Pex26","1"
"Foxj2","1"
"Atn1","1"
"Zfp384","1"
"Chd4","1"
"Klrb1a","1"
"Etv6","1"
"Lrp6","1"
"Crebl2","1"
"Atf7ip","1"
"Pik3c2g","1"
"Aebp2","1"
"Slco1b2","1"
"Ldhb","1"
"C2cd5","1"
"Etnk1","1"
"Sox5","1"
"Rassf8","1"
"Itpr2","1"
"Rep15","1"
"Caprin2","1"
"Dennd5b","1"
"Cnot3","1"
"Tmc4","1"
"Leng8","1"
"Ppp1r12c","1"
"Ppp6r1","1"
"Kmt5c","1"
"Zfp628","1"
"Zfp865","1"
"Zfp28","1"
"Peg3","1"
"Zfp954","1"
"Zfp551","1"
"Zfp128","1"
"Zscan22","1"
"Zfp446","1"
"Ube2m","1"
"Bicra","1"
"Dhx34","1"
"Ccdc9","1"
"Zc3h4","1"
"Arhgap35","1"
"Slc1a5","1"
"Fkrp","1"
"Pglyrp1","1"
"Dmwd","1"
"Dmpk","1"
"Gm26802","1"
"Fosb","1"
"Ercc2","1"
"Mark4","1"
"Ppp1r37","1"
"Relb","1"
"Zfp180","1"
"Irgq","1"
"Zfp574","1"
"Zfp526","1"
"Gsk3a","1"
"Erf","1"
"Cic","1"
"Megf8","1"
"Hnrnpul1","1"
"Gm42375","1"
"Itpkc","1"
"Sertad1","1"
"Zfp36","1"
"Samd4b","1"
"Actn4","1"
"Sipa1l3","1"
"Zfp568","1"
"Zfp146","1"
"Kmt2b","1"
"Scn1b","1"
"Gramd1a","1"
"Wtip","1"
"4931406P16Rik","1"
"Cebpa","1"
"Lrp3","1"
"Cep89","1"
"Ankrd27","1"
"Dpy19l3","1"
"Zfp507","1"
"Gm37494","1"
"Kcnc3","1"
"Myh14","1"
"Fuz","1"
"Scaf1","1"
"Prr12","1"
"Trpm4","1"
"Ppp1r15a","1"
"Dbp","1"
"Abcc6","1"
"Hps5","1"
"Spty2d1","1"
"Nav2","1"
"Cyfip1","1"
"Herc2","1"
"Ube3a","1"
"Klf13","1"
"Mtmr10","1"
"Tjp1","1"
"Pcsk6","1"
"Lrrk1","1"
"Gm44752","1"
"Chd2","1"
"Akap13","1"
"AU020206","1"
"Klhl25","1"
"Polg","1"
"Anpep","1"
"Zfp710","1"
"Sema4b","1"
"Rccd1","1"
"Man2a2","1"
"Furin","1"
"Crtc3","1"
"Zfp592","1"
"Whamm","1"
"Fzd4","1"
"Picalm","1"
"Crebzf","1"
"Pcf11","1"
"Myo7a","1"
"Emsy","1"
"Thap12","1"
"Uvrag","1"
"Arrb1","1"
"Rnf169","1"
"Fam168a","1"
"Fchsd2","1"
"Arap1","1"
"Inppl1","1"
"Numa1","1"
"Nup98","1"
"Stim1","1"
"Fam160a2","1"
"Apbb1","1"
"Dennd5a","1"
"Ipo7","1"
"Wee1","1"
"Swap70","1"
"Sbf2","1"
"Ctr9","1"
"Usp47","1"
"Mical2","1"
"Pde3b","1"
"Sox6","1"
"Plekha7","1"
"Pik3c2a","1"
"Smg1","1"
"Itpripl2","1"
"Tmc7","1"
"Tmc5","1"
"Mosmo","1"
"Usp31","1"
"Rbbp6","1"
"Tnrc6a","1"
"Il4ra","1"
"Gtf3c1","1"
"D430042O09Rik","1"
"Xpo6","1"
"Atxn2l","1"
"Taok2","1"
"Maz","1"
"Tbc1d10b","1"
"9130019O22Rik","1"
"Fbrs","1"
"Srcap","1"
"Rnf40","1"
"Fbxl19","1"
"Setd1a","1"
"Hsd3b7","1"
"Zfp646","1"
"Prss8","1"
"Inpp5f","1"
"Ate1","1"
"Tacc2","1"
"Ikzf5","1"
"Lhpp","1"
"Fam53b","1"
"Zranb1","1"
"Dock1","1"
"Pwwp2b","1"
"Inpp5a","1"
"Nlrp6","1"
"Phrf1","1"
"Ap2a2","1"
"Tollip","1"
"Kcnq1ot1","1"
"Shank2","1"
"Ppfia1","1"
"Ccnd1","1"
"Zbtb2","1"
"Esr1","1"
"Syne1","1"
"Ipcef1","1"
"Cnksr3","1"
"Lats1","1"
"Zc3h12d","1"
"Tab2","1"
"Sash1","1"
"Stxbp5","1"
"Hivep2","1"
"Heca","1"
"Nhsl1","1"
"Tnfaip3","1"
"Map3k5","1"
"4933406P04Rik","1"
"Bclaf1","1"
"Med23","1"
"Epb41l2","1"
"Ptprk","1"
"Gm20300","1"
"Rnf217","1"
"Rev3l","1"
"Foxo3","1"
"Sec63","1"
"Hace1","1"
"Cep85l","1"
"Man1a","1"
"Gcc2","1"
"Ranbp2","1"
"Sowahc","1"
"Ddit4","1"
"Sgpl1","1"
"Pald1","1"
"Eif4ebp2","1"
"Jmjd1c","1"
"Egr2","1"
"Arid5b","1"
"Rhobtb1","1"
"Ank3","1"
"Ccdc6","1"
"AC079680.1","1"
"Ipmk","1"
"Bcr","1"
"Specc1l","1"
"Cabin1","1"
"Zfp280b","1"
"Pcnt","1"
"Mcm3ap","1"
"Col18a1","1"
"Trappc10","1"
"Agpat3","1"
"2610008E11Rik","1"
"Tmem259","1"
"Sbno2","1"
"Stk11","1"
"Cbarp","1"
"Midn","1"
"Rexo1","1"
"Klf16","1"
"Csnk1g2","1"
"Btbd2","1"
"Mknk2","1"
"Ap3d1","1"
"Dot1l","1"
"Gadd45b","1"
"Zbtb7a","1"
"Pip5k1c","1"
"Nfic","1"
"Tle2","1"
"AU041133","1"
"Slc41a2","1"
"D10Wsu102e","1"
"Appl2","1"
"Ric8b","1"
"Nt5dc3","1"
"Pah","1"
"Utp20","1"
"Gas2l3","1"
"Uhrf1bp1l","1"
"Nedd1","1"
"Fgd6","1"
"Tmcc3","1"
"Eea1","1"
"Atp2b1","1"
"Galnt4","1"
"Gm34777","1"
"Dusp6","1"
"Gm34921","1"
"Tmtc3","1"
"Ppp1r12a","1"
"Csrp2","1"
"Zdhhc17","1"
"Osbpl8","1"
"Phlda1","1"
"Atxn7l3b","1"
"Rab21","1"
"Zfc3h1","1"
"Frs2","1"
"Cpm","1"
"Gm4065","1"
"Dyrk2","1"
"Cand1","1"
"Msrb3","1"
"Lemd3","1"
"Tbc1d30","1"
"Gns","1"
"Rassf3","1"
"Ppm1h","1"
"Mon2","1"
"Lrig3","1"
"Ctdsp2","1"
"Arhgef25","1"
"Mbd6","1"
"R3hdm2","1"
"Lrp1","1"
"Stat6","1"
"Nab2","1"
"Zbtb39","1"
"Gpr182","1"
"Baz2a","1"
"Stat2","1"
"Pan2","1"
"Smarcc2","1"
"Erbb3","1"
"Tmem198b","1"
"Itga7","1"
"Insr","1"
"Arhgef18","1"
"Pnpla6","1"
"Camsap3","1"
"Map2k7","1"
"Arglu1","1"
"Lig4","1"
"Irs2","1"
"Col4a1","1"
"Arhgef7","1"
"Atp11a","1"
"Rasa3","1"
"Champ1","1"
"Atp7b","1"
"Slc20a2","1"
"Kat6a","1"
"Tcim","1"
"Adam9","1"
"Tacc1","1"
"Nsd3","1"
"Hook3","1"
"Adrb3","1"
"Ppp2cb","1"
"Tnks","1"
"Ppp1r3b","1"
"Mfhas1","1"
"Prag1","1"
"Lonrf1","1"
"Dlc1","1"
"Micu3","1"
"Slc7a2","1"
"Mtus1","1"
