"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Rad211" 2.15562387341828e-266 0.0151542490117589 1 1 3.06098590025396e-264 "0" "Rad21"
"Tbp1" 3.26996327891186e-246 0.00654110014950618 1 1 4.64334785605484e-244 "0" "Tbp"
"Atf61" 4.11320763956434e-241 0.00512707984996045 1 1 5.84075484818137e-239 "0" "Atf6"
"Mlxipl1" 1.78918046303641e-238 0.00404542948430511 0.713 0.517 2.5406362575117e-236 "0" "Mlxipl"
"Mitf1" 7.90013664477565e-232 0.00374546095235957 0.987 0.97 1.12181940355814e-229 "0" "Mitf"
"Atf41" 2.14130091100663e-225 0.00619593792760543 0.995 0.988 3.04064729362941e-223 "0" "Atf4"
"Bcl3" 1.87614281348187e-219 0.00465132898138359 1 1 2.66412279514426e-217 "0" "Bcl3"
"Etv31" 9.69987896163405e-215 0.00490421094163787 1 1 1.37738281255203e-212 "0" "Etv3"
"Hes11" 2.96473398468095e-213 0.00914365298959552 0.616 0.399 4.20992225824695e-211 "0" "Hes1"
"Nr2c21" 2.62665408874562e-207 0.00361780622567699 0.997 0.985 3.72984880601878e-205 "0" "Nr2c2"
"Klf3" 6.21022137508883e-197 0.0104069200295921 0.809 0.73 8.81851435262613e-195 "0" "Klf3"
"Gabpa1" 1.37200632874811e-179 0.0137759049094681 1 1 1.94824898682232e-177 "0" "Gabpa"
"Bclaf11" 4.28335118820196e-165 0.0179266677549089 1 1 6.08235868724678e-163 "0" "Bclaf1"
"Kdm5a1" 3.18415963585811e-143 0.0128530648561558 1 1 4.52150668291852e-141 "0" "Kdm5a"
"Zfp3841" 1.45633148391409e-137 0.003682465600644 0.999 0.999 2.06799070715801e-135 "0" "Zfp384"
"Atf11" 1.43844181111334e-133 0.00912954363768737 1 1 2.04258737178094e-131 "0" "Atf1"
"Zmiz11" 9.83054197118165e-131 0.0119661498398916 1 1 1.39593695990779e-128 "0" "Zmiz1"
